f1,f2,robot_1,robot_2,robot_3
7.004705905914307,2.471546,"[18, 4, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[15, 12, 1, 0, 14, 27, 2, 28]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.185092449188232,2.4790273,"[18, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[15, 4, 12, 1, 0, 14, 27, 2, 28]","[16, 24, 17, 19, 3, 29, 5, 26, 8, 21, 22]"
7.153449058532715,3.1101632,"[20, 9, 23, 25, 10, 28, 15]","[11, 4, 18, 6, 7, 13]","[22, 21, 0, 12, 1, 14, 27, 2, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.288735866546631,2.6008596,"[13, 11, 20, 9, 23, 25, 10, 28, 15, 4]","[7, 6, 18, 12, 1, 0, 14]","[16, 8, 26, 5, 24, 17, 19, 3, 29, 2, 27, 21, 22]"
7.190595388412476,2.619983,"[6, 20, 9, 23, 25, 10, 28, 15, 4]","[13, 7, 18, 12, 1, 0, 14, 11]","[22, 21, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.291874408721924,2.5282884,"[18, 4, 15, 28, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[12, 1, 0, 21, 8, 26, 14]","[16, 5, 24, 17, 19, 3, 29, 2, 27, 22]"
7.270329713821411,2.619983,"[4, 20, 9, 23, 25, 10, 28, 15]","[13, 7, 6, 18, 12, 1, 0, 14, 11]","[22, 21, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.191642761230469,3.1101632,"[4, 20, 9, 23, 25, 10, 28, 15]","[11, 7, 6, 18, 13]","[22, 21, 0, 12, 1, 14, 27, 2, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.300441265106201,2.5875964,"[15, 28, 10, 25, 23, 9, 20, 4]","[13, 7, 6, 18, 12, 1, 0, 14, 27, 11]","[22, 21, 8, 26, 2, 29, 3, 19, 17, 24, 5, 16]"
7.30937385559082,2.619983,"[7, 20, 9, 23, 25, 10, 28, 15, 4]","[13, 6, 18, 12, 1, 0, 14, 11]","[22, 21, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.278890371322632,2.6263897,"[4, 15, 28, 10, 25, 23, 9, 20, 11]","[13, 7, 6, 18, 12, 1, 0, 14, 27, 2]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.318963289260864,2.6218615,"[13, 11, 20, 9, 23, 25, 10, 28, 15, 4]","[7, 6, 18, 12, 1, 0, 14, 27, 2]","[16, 24, 17, 19, 3, 29, 5, 26, 8, 21, 22]"
7.281306266784668,2.7408938,"[15, 28, 10, 25, 23, 9, 20, 4]","[13, 7, 6, 18, 12, 1, 14, 11]","[22, 21, 0, 27, 2, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.388014554977417,2.619983,"[20, 9, 23, 25, 10, 28, 15]","[13, 7, 6, 18, 4, 12, 1, 0, 14, 11]","[22, 21, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.318963289260864,2.6218615,"[4, 15, 28, 10, 25, 23, 9, 20, 11, 13]","[7, 6, 18, 12, 1, 0, 14, 27, 2]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.322962284088135,2.6797094,"[15, 28, 10, 25, 23, 9, 20, 4]","[13, 7, 6, 18, 12, 1, 0, 14, 27, 2, 11]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.333801984786987,2.6277509,"[10, 25, 23, 9, 20, 11, 13, 7, 6]","[28, 2, 27, 14, 0, 1, 12, 18, 4, 15]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.333141565322876,2.7295294,"[18, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[15, 4, 12, 1, 14, 27, 2, 28]","[22, 21, 0, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.362006664276123,2.678649,"[7, 20, 9, 23, 25, 10, 28, 15, 4]","[13, 6, 18, 12, 1, 0, 14, 27, 2, 11]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.32744026184082,2.7408938,"[4, 15, 28, 10, 25, 23, 9, 20, 11, 13, 7]","[6, 18, 12, 1, 14]","[22, 21, 0, 27, 2, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.370793342590332,2.7116153,"[18, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[15, 4, 12, 1, 14, 0, 21, 27, 2, 28]","[22, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.340174198150635,3.1101632,"[10, 25, 23, 9, 20, 11, 13, 7, 6]","[28, 15, 4, 18]","[22, 21, 0, 12, 1, 14, 27, 2, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.516441822052002,2.7091837,"[4, 15, 28, 10, 25, 23, 9, 20, 11, 13, 7]","[6, 18, 12, 1, 0, 21, 14]","[22, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.433958530426025,2.7420979,"[13, 11, 20, 9, 23, 25, 10, 28, 15]","[7, 6, 18, 4, 12, 1, 0, 14, 27, 2]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.393885850906372,2.7466264,"[11, 20, 9, 23, 25, 10, 28, 15]","[13, 7, 6, 18, 4, 12, 1, 0, 14, 27, 2]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.467764616012573,2.7137141,"[4, 15, 28, 10, 25, 23, 9, 20, 11]","[13, 7, 6, 18, 12, 1, 0, 21, 14]","[22, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.43867564201355,2.7864902,"[4, 15, 28, 10, 25, 23, 20, 7]","[11, 13, 6, 18, 12, 1, 0, 14, 27, 2, 9]","[16, 24, 17, 19, 3, 29, 5, 26, 8, 21, 22]"
7.39963173866272,2.787551,"[4, 20, 23, 25, 10, 28, 15]","[11, 13, 7, 6, 18, 12, 1, 0, 14, 27, 2, 9]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.471011400222778,2.7295294,"[4, 20, 9, 23, 25, 10, 28, 15]","[13, 7, 6, 18, 12, 1, 14, 27, 2, 11]","[22, 21, 0, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.5172741413116455,2.7649524,"[10, 25, 23, 9, 20, 11, 13, 7, 6]","[15, 4, 18, 12, 1, 14, 27, 2, 28]","[22, 0, 21, 26, 8, 24, 17, 19, 3, 29, 5, 16]"
7.440647125244141,2.799946,"[15, 28, 10, 25, 23, 9, 20]","[13, 7, 6, 18, 4, 12, 1, 0, 14, 27, 2, 11]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.676080703735352,2.7301762,"[10, 25, 23, 9, 20, 11, 13, 7]","[15, 4, 18, 6, 12, 1, 14, 27, 2, 28]","[22, 21, 0, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.437976837158203,2.8822482,"[18, 28, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[4, 12, 1, 0, 22, 21, 2, 27, 14, 15]","[8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.528031587600708,2.8401105,"[10, 25, 23, 9, 20, 11, 13, 7]","[15, 4, 18, 6, 12, 1, 0, 14, 27, 2, 28]","[16, 24, 17, 19, 3, 29, 5, 26, 8, 21, 22]"
7.704689025878906,2.7616048,"[6, 7, 13, 11, 20, 9, 23, 25, 10, 28, 15, 14, 1, 12, 4, 18]","[0, 21, 22, 16, 8, 26, 2, 27]","[24, 17, 19, 3, 29, 5]"
7.678765535354614,2.7880905,"[18, 4, 12, 15, 28, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[1, 14, 0, 21, 22, 16, 2, 27]","[8, 26, 5, 29, 3, 19, 17, 24]"
7.739877939224243,2.7616045,"[18, 4, 12, 1, 14, 15, 28, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[27, 2, 26, 8, 16, 21, 0]","[24, 17, 19, 3, 29, 5, 22]"
7.633582353591919,2.8390672,"[10, 25, 9, 20]","[11, 13, 7, 6, 18, 4, 12, 1, 14, 15, 28, 23]","[22, 21, 0, 27, 2, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.496356248855591,2.868493,"[4, 15, 28, 10, 25, 23, 9, 20, 11]","[13, 7, 6, 18, 12, 1, 14, 0, 26, 2, 27]","[16, 24, 17, 19, 3, 29, 5, 8, 21, 22]"
7.4985551834106445,2.9021895,"[15, 28, 10, 25, 23, 9, 20, 4]","[13, 7, 6, 18, 12, 1, 14, 0, 21, 2, 27, 11]","[22, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.532293796539307,2.8404348,"[28, 10, 25, 23, 9, 20, 11, 13]","[7, 6, 18, 4, 12, 1, 0, 14, 27, 2, 15]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.725147485733032,2.7878494,"[13, 11, 20, 9, 23, 25, 10]","[15, 4, 7, 6, 18, 12, 1, 14, 27, 2, 28]","[22, 21, 0, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.498418807983398,2.9377992,"[4, 15, 28, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[18, 12, 1, 14, 0, 22, 21, 27, 2]","[8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.533500671386719,2.899317,"[7, 13, 11, 20, 9, 23, 25, 10, 28, 15, 4]","[6, 18, 12, 1, 14, 0, 21, 26, 2, 27]","[22, 8, 5, 29, 3, 19, 17, 24, 16]"
7.510462760925293,2.9387345,"[4, 20, 9, 23, 25, 10, 28, 15]","[13, 7, 6, 18, 12, 1, 14, 0, 21, 26, 2, 27, 11]","[22, 8, 5, 29, 3, 19, 17, 24, 16]"
7.517316102981567,2.9077876,"[20, 23, 25, 10, 28, 15]","[11, 13, 7, 6, 18, 4, 12, 1, 0, 14, 27, 2, 9]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.521995782852173,2.9033804,"[4, 20, 9, 23, 25, 10, 28, 15]","[13, 7, 6, 18, 12, 1, 14, 0, 26, 2, 27, 11]","[16, 24, 17, 19, 3, 29, 5, 8, 21, 22]"
7.587992429733276,2.8457415,"[15, 28, 10, 25, 23, 9, 20]","[13, 7, 6, 18, 4, 12, 1, 0, 21, 14, 11]","[22, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.537599563598633,2.901129,"[7, 20, 9, 23, 25, 10, 28, 15, 4]","[13, 6, 18, 12, 1, 14, 0, 21, 2, 27, 11]","[16, 24, 17, 19, 3, 29, 5, 26, 8, 22]"
7.593674182891846,2.851425,"[28, 10, 25, 23, 9, 20]","[13, 7, 6, 18, 4, 12, 1, 0, 21, 14, 15, 11]","[22, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
